3,1,942.71
3,2,394.8
3,3,36.9
3,4,39.1
3,5,102.1
3,6,3.766
3,7,607.18
3,8,761.7
3,9,92.84
3,10,61.66
3,11,478.02
3,12,3
3,13,4.7
3,14,0.46
3,15,0.99
3,16,18.84
3,17,54.54
3,18,2.8
3,19,80.44
3,20,193
3,21,2.1
3,22,3.8
3,23,90.9
3,24,0.24
3,25,0.69
3,26,6.1
3,27,0.49
3,28,1.4
3,29,81.74
3,30,4.14
3,31,34.6
3,32,13.22
4,1,657.5
4,2,341.1
4,3,24.9
4,4,8.6
4,5,111.1
4,6,4.396
4,7,1142.92
4,8,527.23
4,9,63.56
4,10,55.68
4,11,340.77
4,12,2.2
4,13,3.6
4,14,0.38
4,15,1.06
4,16,9.99
4,17,31.16
4,18,1.04
4,19,88.38
4,20,86
4,21,1
4,22,0.8
4,23,25.15
4,24,0.16
4,25,0.42
4,26,3.7
4,27,0.38
4,28,0.7
4,29,59.13
4,30,2.73
4,31,19.7
4,32,9.52
9,1,1117.95
9,2,194.9
9,3,23
9,4,53.5
9,5,130.4
9,6,13.38
9,7,4514.3
9,8,485
9,9,218.45
9,10,57.35
9,11,354.7
9,12,4.7
9,13,3.2
9,14,0.4
9,15,1.4
9,16,12.4
9,17,22.7
9,18,0.3
9,19,73.65
9,20,173
9,21,1.1
9,22,3
9,23,9.05
9,24,0.18
9,25,0.42
9,26,0.8
9,27,0.18
9,28,0.8
9,29,48.95
9,30,1.87
9,31,16.3
9,32,0
10,1,1606.87
10,2,366.3
10,3,39.7
10,4,33.5
10,5,277.4
10,6,6.6585
10,7,954.08
10,8,1369.9
10,9,176.83
10,10,156.21
10,11,675.29
10,12,8.1
10,13,7
10,14,1.11
10,15,3.62
10,16,2.485
10,17,10.045
10,18,2.52
10,19,227.42
10,20,0
10,21,0.5
10,22,1.7
10,23,15.01
10,24,0.74
10,25,0.31
10,26,9
10,27,0.96
10,28,1.1
10,29,111.22
10,30,3.67
10,31,10.5
10,32,28.2
11,1,675.41
11,2,321.2
11,3,17.9
11,4,19.4
11,5,104.1
11,6,4.5
11,7,878.3
11,8,927.2
11,9,55.52
11,10,61.24
11,11,239
11,12,2
11,13,3.6
11,14,0.4
11,15,1.12
11,16,0.6
11,17,2.44
11,18,5.02
11,19,59.02
11,20,0
11,21,0
11,22,1.3
11,23,9.6
11,24,0.25
11,25,0.19
11,26,5
11,27,0.59
11,28,0.6
11,29,57.8
11,30,1.86
11,31,1.7
11,32,42.54
52,1,518.18
52,2,605.4
52,3,19.1
52,4,16.3
52,5,67.8
52,6,6.319
52,7,1927.945
52,8,262.49
52,9,168.445
52,10,103.61
52,11,257.83
52,12,2.9
52,13,1.6
52,14,0.2
52,15,0.96
52,16,3.89
52,17,33.37
52,18,3.41
52,19,18.34
52,20,0
52,21,0
52,22,1
52,23,31.16
52,24,0.13
52,25,0.13
52,26,5.9
52,27,0.19
52,28,1.4
52,29,27.14
52,30,0.73
52,31,4.6
52,32,0.88
60,1,224.88
60,2,181.1
60,3,5.9
60,4,0.8
60,5,46.2
60,6,1.934
60,7,630
60,8,58.8
60,9,16.26
60,10,17.16
60,11,51.96
60,12,0.5
60,13,0.3
60,14,0.08
60,15,0.25
60,16,0
60,17,4
60,18,2
60,19,4.12
60,20,0
60,21,0
60,22,0.2
60,23,0.42
60,24,0.04
60,25,0.03
60,26,0.8
60,27,0.04
60,28,0.1
60,29,12.46
60,30,0.32
60,31,0.6
60,32,0.66
143,1,355.96
143,2,315.9
143,3,18.2
143,4,22.4
143,5,22.6
143,6,2.662
143,7,337.56
143,8,673
143,9,59.7
143,10,54.04
143,11,321.04
143,12,2.3
143,13,1.1
143,14,0.17
143,15,0.48
143,16,3.1
143,17,2.24
143,18,0.24
143,19,3.16
143,20,2.2
143,21,3.2
143,22,7.6
143,23,31.9
143,24,0.18
143,25,0.17
143,26,10.5
143,27,0.5
143,28,1.6
143,29,116.46
143,30,0.78
143,31,3.6
143,32,21.14
171,1,404.53
171,2,598.1
171,3,21.4
171,4,14.2
171,5,42.6
171,6,6.789
171,7,1262.98
171,8,1407.22
171,9,144.22
171,10,113.3
171,11,325.95
171,12,2.2
171,13,3
171,14,0.35
171,15,0.74
171,16,16406.08
171,17,17.38
171,18,2.74
171,19,19.14
171,20,39
171,21,0.1
171,22,1.4
171,23,67.19
171,24,0.22
171,25,0.3
171,26,6.4
171,27,0.48
171,28,0.4
171,29,125.98
171,30,2.68
171,31,9.2
171,32,29.72
67,1,477.21
67,2,444.5
67,3,25.5
67,4,6.6
67,5,75.2
67,6,7.70985
67,7,2301.08
67,8,1018.61
67,9,72.563
67,10,64.322
67,11,381.1
67,12,2.1
67,13,1.5
67,14,0.17
67,15,0.55
67,16,19.984
67,17,50.9515
67,18,1.985
67,19,36.24
67,20,32.5
67,21,0.7
67,22,0.8
67,23,35.425
67,24,0.78
67,25,0.34
67,26,9.2
67,27,0.3
67,28,1.1
67,29,69.49
67,30,2.11
67,31,10.5
67,32,12.175
